timestamp,p1,p2
1,9,15
1,61,54
1,46,9
1,24,36
1,48,69
1,2,51
1,34,31
1,30,3
1,43,22
1,37,15
1,6,1
1,54,12
1,59,44
1,8,10
1,2,29
1,2,68
1,9,57
1,1,69
1,15,65
1,26,67
1,50,45
1,0,61
1,29,31
1,56,62
1,40,16
1,48,59
1,62,6
1,17,9
1,33,30
1,51,56
1,49,2
1,10,11
1,60,38
1,23,65
1,44,0
1,16,46
1,41,40
1,48,35
1,9,28
1,12,46
1,45,20
1,29,52
1,18,64
1,36,20
1,22,21
1,25,8
1,17,34
1,40,63
1,58,42
1,35,37
1,11,53
1,48,32
1,19,53
1,69,43
1,7,51
1,44,38
1,20,4
1,15,15
1,27,47
1,4,59
1,44,65
1,24,1
1,9,7
1,64,27
1,51,30
1,34,13
1,45,28
1,69,53
1,9,36
1,9,57
1,80,133
1,85,138
1,118,101
1,129,114
1,129,131
1,87,136
1,86,116
1,73,93
1,120,123
1,75,93
1,100,83
1,139,94
1,130,121
1,74,73
1,93,78
1,70,131
1,89,109
1,72,121
1,95,96
1,111,89
1,141,71
1,98,116
1,107,102
1,121,100
1,113,105
1,71,135
1,76,99
1,128,77
1,78,131
1,91,137
1,141,102
1,124,71
1,93,115
1,134,80
1,106,92
1,75,108
1,107,134
1,90,137
1,109,99
1,112,132
1,108,95
1,141,115
1,138,74
1,87,109
1,112,75
1,88,118
1,93,129
1,115,88
1,71,72
1,118,70
1,96,111
1,121,136
1,117,104
1,110,115
1,82,100
1,112,72
1,128,127
1,93,137
1,137,97
1,102,93
1,112,102
1,88,90
1,112,112
1,120,135
1,118,133
1,76,109
1,102,119
1,131,123
1,84,129
1,115,82
1,96,134
1,139,89
1,150,185
1,160,204
1,171,155
1,161,175
1,204,144
1,211,184
1,153,147
1,167,216
1,149,160
1,215,218
1,156,212
1,153,194
1,181,189
1,177,162
1,206,153
1,173,164
1,205,164
1,203,175
1,168,172
1,188,208
1,164,206
1,172,177
1,205,182
1,185,196
1,150,161
1,201,158
1,216,215
1,159,181
1,204,179
1,215,159
1,142,185
1,200,194
1,160,209
1,169,186
1,201,178
1,163,211
1,183,179
1,204,164
1,173,177
1,177,202
1,148,203
1,178,215
1,200,173
1,196,142
1,161,188
1,164,187
1,179,184
1,189,212
1,161,187
1,219,148
1,190,150
1,147,146
1,196,161
1,165,162
1,175,193
1,183,191
1,208,203
1,207,158
1,170,206
1,166,209
1,160,166
1,183,151
1,149,172
1,187,151
1,176,201
1,178,198
1,210,196
1,160,219
1,211,145
1,155,211
1,197,179
1,166,188
1,219,179
1,206,184
1,144,171
1,213,219
1,156,200
1,180,191
2,260,67
2,280,280
2,260,251
2,268,279
2,279,135
2,194,194
2,68,244
2,184,251
2,137,68
2,62,220
2,172,280
