id,age,bmi,apartment,home,family,office,school
0,45,20,0,-1,0,2,-1
1,32,21,0,-1,0,3,-1
2,31,20,0,-1,1,2,-1
3,3,17,0,-1,1,-1,0
4,1,24,0,-1,1,-1,0
5,49,20,0,-1,2,1,-1
6,40,19,0,-1,2,3,-1
7,44,22,0,-1,3,-1,-1
8,30,18,0,-1,3,1,-1
9,2,19,0,-1,3,-1,0
10,2,19,0,-1,3,-1,0
11,77,16,0,-1,3,-1,-1
12,78,23,0,-1,3,-1,-1
13,40,24,0,-1,4,4,-1
14,8,17,0,-1,4,-1,1
15,15,24,0,-1,4,-1,2
16,33,17,0,-1,5,-1,-1
17,7,25,0,-1,5,-1,1
18,4,18,0,-1,5,-1,0
19,35,24,0,-1,6,3,-1
20,38,25,0,-1,6,3,-1
21,8,17,0,-1,6,-1,1
22,38,23,0,-1,7,-1,-1
23,4,27,0,-1,7,-1,0
24,11,15,0,-1,7,-1,2
25,68,25,0,-1,7,-1,-1
26,71,16,0,-1,7,-1,-1
27,33,23,0,-1,8,1,-1
28,34,18,0,-1,9,3,-1
29,8,20,0,-1,9,-1,1
30,66,21,0,-1,9,-1,-1
31,49,26,0,-1,10,2,-1
32,44,19,0,-1,10,4,-1
33,3,21,0,-1,10,-1,0
34,83,17,0,-1,10,-1,-1
35,80,23,0,-1,10,-1,-1
36,39,19,0,-1,11,-1,-1
37,46,25,0,-1,11,3,-1
38,10,24,0,-1,11,-1,1
39,5,21,0,-1,11,-1,1
40,31,26,0,-1,12,-1,-1
41,31,20,0,-1,12,0,-1
42,2,21,0,-1,12,-1,0
43,2,22,0,-1,12,-1,0
44,66,28,0,-1,12,-1,-1
45,34,27,0,-1,13,3,-1
46,2,25,0,-1,13,-1,0
47,2,19,0,-1,13,-1,0
48,66,18,0,-1,13,-1,-1
49,69,17,0,-1,13,-1,-1
50,43,18,0,-1,14,-1,-1
51,48,16,0,-1,14,-1,-1
52,8,27,0,-1,14,-1,1
53,7,22,0,-1,14,-1,1
54,79,21,0,-1,14,-1,-1
55,82,20,0,-1,14,-1,-1
56,39,23,0,-1,15,3,-1
57,69,22,0,-1,15,-1,-1
58,69,16,0,-1,15,-1,-1
59,33,25,0,-1,16,4,-1
60,5,21,0,-1,16,-1,1
61,63,28,0,-1,16,3,-1
62,32,18,0,-1,17,-1,-1
63,2,19,0,-1,17,-1,0
64,65,28,0,-1,17,4,-1
65,46,27,0,-1,18,-1,-1
66,80,25,0,-1,18,-1,-1
67,38,21,0,-1,19,4,-1
68,41,16,0,-1,19,-1,-1
69,9,22,0,-1,19,-1,1
70,7,28,0,-1,19,-1,1
71,72,27,0,-1,19,-1,-1
72,72,28,0,-1,19,-1,-1
73,45,18,1,-1,20,2,-1
74,18,27,1,-1,20,-1,4
75,12,16,1,-1,20,-1,2
76,49,17,1,-1,21,3,-1
77,42,21,1,-1,21,0,-1
78,7,25,1,-1,21,-1,1
79,80,21,1,-1,21,-1,-1
80,84,28,1,-1,21,-1,-1
81,49,24,1,-1,22,-1,-1
82,14,25,1,-1,22,-1,2
83,50,26,1,-1,23,2,-1
84,35,19,1,-1,24,0,-1
85,1,20,1,-1,24,-1,0
86,39,24,1,-1,25,-1,-1
87,40,18,1,-1,25,4,-1
88,32,18,1,-1,26,-1,-1
89,31,21,1,-1,26,1,-1
90,64,26,1,-1,26,-1,-1
91,62,17,1,-1,26,2,-1
92,33,17,1,-1,27,0,-1
93,5,17,1,-1,27,-1,1
94,3,22,1,-1,27,-1,0
95,39,18,1,-1,28,4,-1
96,46,15,1,-1,28,0,-1
97,11,16,1,-1,28,-1,2
98,35,24,1,-1,29,0,-1
99,49,24,1,-1,29,2,-1
100,6,23,1,-1,29,-1,1
101,82,19,1,-1,29,-1,-1
102,39,23,1,-1,30,3,-1
103,13,28,1,-1,30,-1,2
104,4,20,1,-1,30,-1,0
105,7,28,1,-1,30,-1,1
106,38,17,1,-1,31,4,-1
107,47,20,1,-1,31,1,-1
108,6,20,1,-1,31,-1,1
109,43,25,1,-1,32,-1,-1
110,38,15,1,-1,32,1,-1
111,7,18,1,-1,32,-1,1
112,74,20,1,-1,32,-1,-1
113,78,26,1,-1,32,-1,-1
114,40,24,1,-1,33,-1,-1
115,41,15,1,-1,33,2,-1
116,5,17,1,-1,33,-1,1
117,8,24,1,-1,33,-1,1
118,3,17,1,-1,33,-1,0
119,38,20,1,-1,34,2,-1
120,11,19,1,-1,34,-1,2
121,7,21,1,-1,34,-1,-1
122,37,24,1,-1,35,2,-1
123,1,22,1,-1,35,-1,0
124,2,27,1,-1,35,-1,0
125,68,25,1,-1,35,-1,-1
126,42,22,1,-1,36,-1,-1
